year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2019,Honda CR-V,EX AWD,19800,89268,Silver,Gray,5J6RW2H55KA007499,86769,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H55KA007499/,2,-1133
2017,Honda CR-V,Touring AWD,23500,25250,White,Black,2HKRW2H9XHH671047,9067,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H9XHH671047/,4,-2775
2018,Honda CR-V,EX AWD,22999,19777,White,Unknown,2HKRW2H56JH635617,32153,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H56JH635617/,3,-1445
2020,Honda CR-V,EX-L AWD,27500,17690,White,Black,2HKRW2H86LH632021,8049,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H86LH632021/,1,-1808
2018,Honda CR-V,LX AWD,21199,16716,Black,Black,2HKRW6H34JH230698,18934,https://www.truecar.com/used-cars-for-sale/listing/2HKRW6H34JH230698/,3,-2018
2017,Honda CR-V,LX AWD,20527,38363,Unknown,Unknown,2HKRW6H39HH216368,19916,https://www.truecar.com/used-cars-for-sale/listing/2HKRW6H39HH216368/,4,-22
2017,Honda CR-V,LX AWD,18781,35983,White,Beige,2HKRW6H36HH209538,14839,https://www.truecar.com/used-cars-for-sale/listing/2HKRW6H36HH209538/,4,-1930
2018,Honda CR-V,EX AWD,24500,13347,Gray,Gray,7FARW2H54JE084784,6011,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H54JE084784/,3,-380
2019,Honda CR-V,EX AWD,25299,12831,Silver,Unknown,5J6RW2H59KA019736,40675,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H59KA019736/,2,-817
2018,Honda CR-V,Touring AWD,25888,62099,White,Unknown,2HKRW2H98JH629823,5797,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H98JH629823/,3,910
2018,Honda CR-V,EX AWD,24292,24151,Blue,Gray,7FARW2H58JE022983,22428,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H58JE022983/,3,144
2018,Honda CR-V,EX AWD,23575,49240,Gray,Gray,7FARW2H57JE059801,22246,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H57JE059801/,3,1128
2017,Honda CR-V,EX-L AWD,21698,61794,Tan,Beige,5J6RW2H86HL022259,23701,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H86HL022259/,4,-1019
2018,Honda CR-V,EX AWD,24472,17328,Gray,Black,7FARW2H54JE100966,22428,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H54JE100966/,3,-138
2019,Honda CR-V,LX AWD,24271,22582,Gray,Unknown,2HKRW6H3XKH205581,19916,https://www.truecar.com/used-cars-for-sale/listing/2HKRW6H3XKH205581/,2,251
2018,Honda CR-V,EX AWD,23450,22028,Silver,Gray,7FARW2H52JE070947,7563,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H52JE070947/,3,-842
2018,Honda CR-V,EX AWD,20991,54568,White,Black,5J6RW2H51JL019300,18934,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H51JL019300/,3,-1094
2019,Honda CR-V,LX AWD,23592,26588,Gray,Unknown,5J6RW6H37KL003240,6229,https://www.truecar.com/used-cars-for-sale/listing/5J6RW6H37KL003240/,2,-157
