year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2018,Subaru Forester,2.5i CVT,18995,25769,Black,Black,JF2SJABC5JH435541,18924,https://www.truecar.com/used-cars-for-sale/listing/JF2SJABC5JH435541/,3,-1068
2020,Subaru Forester,2.5i Touring,31392,3378,Black,Black,JF2SKAXC1LH516044,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC1LH516044/,1,-948
2020,Subaru Forester,2.5i Premium,27488,6014,Gray,Black,JF2SKAJC0LH520272,18920,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAJC0LH520272/,1,-405
2019,Subaru Forester,2.5i Touring,29991,26488,Silver,Black,JF2SKAWC6KH480335,12504,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAWC6KH480335/,2,194
2018,Subaru Forester,2.5i Premium Black Edition with EyeSight CVT,21935,35211,White,Black,JF2SJAGC2JH558867,10171,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAGC2JH558867/,3,-1146
2020,Subaru Forester,2.5i Touring,31392,7029,Silver,Black,JF2SKAXCXLH467751,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXCXLH467751/,1,-768
2020,Subaru Forester,2.5i Touring,31932,2691,Silver,Black,JF2SKAXC5LH587683,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC5LH587683/,1,-442
2019,Subaru Forester,2.5i Sport,26991,33593,Gray,Gray,JF2SKAKC1KH435681,7802,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAKC1KH435681/,2,-832
2019,Subaru Forester,2.5i Touring,29988,12045,White,Black,JF2SKAWC4KH548891,18921,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAWC4KH548891/,2,-522
2020,Subaru Forester,2.5i Premium,27888,6100,Black,Gray,JF2SKAGCXLH453218,18920,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAGCXLH453218/,1,-0
2020,Subaru Forester,2.5i Sport,29895,4593,Silver,Gray,JF2SKARC8LH430565,22260,https://www.truecar.com/used-cars-for-sale/listing/JF2SKARC8LH430565/,1,-762
2020,Subaru Forester,2.5i Touring,33268,3451,Silver,Black,JF2SKAXC3LH587732,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC3LH587732/,1,932
2020,Subaru Forester,2.5i Limited,30600,6970,White,Black,JF2SKAUC6LH503519,22262,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAUC6LH503519/,1,-597
2018,Subaru Forester,2.5i Limited CVT,23995,40947,Gray,Gray,JF2SJARC4JH459593,18918,https://www.truecar.com/used-cars-for-sale/listing/JF2SJARC4JH459593/,3,470
2021,Subaru Forester,2.5i Premium,29991,3115,White,Gray,JF2SKAJC1MH406508,12504,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAJC1MH406508/,0,554
2020,Subaru Forester,2.5i Touring,33204,5623,Silver,Black,JF2SKAXC4LH589490,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC4LH589490/,1,975
2018,Subaru Forester,2.5i Limited CVT,22998,41891,White,Gray,JF2SJAJC6JH538663,22262,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAJC6JH538663/,3,-480
2019,Subaru Forester,2.5i Sport,27720,12107,Blue,Gray,JF2SKAKC7KH575458,22262,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAKC7KH575458/,2,-1164
2020,Subaru Forester,2.5i Touring,33495,2219,Blue,Black,JF2SKAXC3LH468157,22260,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC3LH468157/,1,1098
2020,Subaru Forester,2.5i Touring,31200,15943,White,Brown,JF2SKAXC0LH541310,9563,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAXC0LH541310/,1,-519
2018,Subaru Forester,2.5i Limited CVT,23507,33318,Gray,Gray,JF2SJARC7JH591408,29488,https://www.truecar.com/used-cars-for-sale/listing/JF2SJARC7JH591408/,3,-395
