year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2020,Toyota RAV4,XLE Premium AWD,36998,14991,Silver,Gray,2T3A1RFV6LW119924,8903,https://www.truecar.com/used-cars-for-sale/listing/2T3A1RFV6LW119924/,1,-699
2017,Toyota RAV4,XLE AWD,22995,48204,Gray,Black,JTMRFREVXHD205022,18918,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREVXHD205022/,4,-2950
2020,Toyota RAV4,LE AWD,28000,10485,Silver,Black,2T3F1RFV0LC092971,6808,https://www.truecar.com/used-cars-for-sale/listing/2T3F1RFV0LC092971/,1,-3431
2017,Toyota RAV4,Limited AWD,25900,16314,Gray,Black,JTMDFREV2HJ158354,6808,https://www.truecar.com/used-cars-for-sale/listing/JTMDFREV2HJ158354/,4,-1961
2019,Toyota RAV4,XLE Premium AWD,31800,41040,White,Black,JTMA1RFV5KD011385,12236,https://www.truecar.com/used-cars-for-sale/listing/JTMA1RFV5KD011385/,2,-2376
2018,Toyota RAV4,XLE AWD,24949,24161,Gray,Gray,JTMRFREV1JD229554,211613,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV1JD229554/,3,-4390
2018,Toyota RAV4,XLE AWD,27991,42878,Silver,Black,JTMRFREV7JD230594,12236,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV7JD230594/,3,-154
2014,Toyota RAV4,XLE AWD,19900,49943,Silver,Gray,2T3RFREV3EW174551,6808,https://www.truecar.com/used-cars-for-sale/listing/2T3RFREV3EW174551/,7,-355
2017,Toyota RAV4,LE AWD,23500,41130,Yellow,Unknown,JTMBFREV6HJ148353,176984,https://www.truecar.com/used-cars-for-sale/listing/JTMBFREV6HJ148353/,4,-396
2020,Toyota RAV4,LE AWD,25397,40378,Unknown,Unknown,2T3F1RFV3LC086887,85750,https://www.truecar.com/used-cars-for-sale/listing/2T3F1RFV3LC086887/,1,-4127
2019,Toyota RAV4,Adventure AWD,33999,28351,Black,Unknown,2T3J1RFV2KW010259,8462,https://www.truecar.com/used-cars-for-sale/listing/2T3J1RFV2KW010259/,2,-1179
2018,Toyota RAV4,Hybrid XLE AWD,29433,18149,White,Unknown,JTMRJREV3JD229456,18934,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV3JD229456/,3,-1543
2018,Toyota RAV4,Hybrid XLE AWD,29900,25488,Gray,Gray,JTMRJREV3JD154466,6516,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV3JD154466/,3,-608
2019,Toyota RAV4,XLE AWD,32581,14761,White,Black,JTMP1RFV8KD026070,10025,https://www.truecar.com/used-cars-for-sale/listing/JTMP1RFV8KD026070/,2,783
2018,Toyota RAV4,XLE AWD,27988,27512,White,Unknown,2T3RFREV2JW857674,18921,https://www.truecar.com/used-cars-for-sale/listing/2T3RFREV2JW857674/,3,-1137
2017,Toyota RAV4,LE AWD,23700,40984,Blue,Black,2T3BFREV5HW549524,6808,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV5HW549524/,4,-206
2021,Toyota RAV4,Hybrid XLE Premium AWD,34988,25992,White,Black,2T3B6RFV5MW021233,18921,https://www.truecar.com/used-cars-for-sale/listing/2T3B6RFV5MW021233/,0,-0
2018,Toyota RAV4,Hybrid LE AWD,27980,29810,Gray,Gray,JTMRJREV4JD210706,18935,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV4JD210706/,3,-579
2018,Toyota RAV4,Hybrid Limited AWD,31990,34017,Silver,Gray,JTMDJREV7JD197251,29488,https://www.truecar.com/used-cars-for-sale/listing/JTMDJREV7JD197251/,3,-1422
2018,Toyota RAV4,Hybrid Limited AWD,31992,18159,Blue,Black,JTMDJREV1JD187847,7479,https://www.truecar.com/used-cars-for-sale/listing/JTMDJREV1JD187847/,3,-2431
